title,type,attribute,id,old_link,new_link
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,url,0f9dae42-e0d9-4ac8-9901-69d1bd02ee8d,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/gpkg/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/gpkg/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,url,77e289ec-3184-4682-9ac1-477b00b601ad,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/xtf/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/xtf/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Kehrichtverbrennungsanlagen (KVA),resources,download_url,54a0ff03-3a56-4c52-95ca-e0fe22f28aac,https://data.geo.admin.ch/ch.bfe.kehrichtverbrennungsanlagen/gpkg/2056/ch.bfe.kehrichtverbrennungsanlagen.zip,-
Kehrichtverbrennungsanlagen (KVA),resources,download_url,1dd67d85-9636-4c58-9563-8813b87b285a,https://data.geo.admin.ch/ch.bfe.kehrichtverbrennungsanlagen/xtf/2056/ch.bfe.kehrichtverbrennungsanlagen.zip,-
Kehrichtverbrennungsanlagen (KVA),resources,download_url,7b13a2e3-4754-45e0-b510-9f2c960c030b,https://data.geo.admin.ch/ch.bfe.kehrichtverbrennungsanlagen/csv/2056/ch.bfe.kehrichtverbrennungsanlagen.zip,-
Kehrichtverbrennungsanlagen (KVA),resources,url,54a0ff03-3a56-4c52-95ca-e0fe22f28aac,https://data.geo.admin.ch/ch.bfe.kehrichtverbrennungsanlagen/gpkg/2056/ch.bfe.kehrichtverbrennungsanlagen.zip,-
Kehrichtverbrennungsanlagen (KVA),resources,url,1dd67d85-9636-4c58-9563-8813b87b285a,https://data.geo.admin.ch/ch.bfe.kehrichtverbrennungsanlagen/xtf/2056/ch.bfe.kehrichtverbrennungsanlagen.zip,-
Kehrichtverbrennungsanlagen (KVA),resources,url,7b13a2e3-4754-45e0-b510-9f2c960c030b,https://data.geo.admin.ch/ch.bfe.kehrichtverbrennungsanlagen/csv/2056/ch.bfe.kehrichtverbrennungsanlagen.zip,-
Kehrichtverbrennungsanlagen (KVA),resources,url,2d1bd014-e772-4996-a28d-28ca4cca7bfe,http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
Kennzahlen Shared Mobility,dataset,relations,75b319b5-a7bc-40fc-80e9-579b02e46c02,"[{'url': 'www.sharedmobility.ch/info', 'label': 'Dokumentation von sharedmobility.ch'}]","[{'url': 'https://www.sharedmobility.ch/info', 'label': 'Dokumentation von sharedmobility.ch'}]"
