title,type,attribute,id,old_link,new_link
Kontrollen Energieetiketten und Mindestanforderungen bei Elektrogeräten in der Schweiz,dataset,url,162dad12-79ea-496d-9088-83e9172e1fb2,http://www.bfe.admin.ch/ogd23,https://www.bfe.admin.ch/ogd23
Ladestationen für Elektroautos,dataset,relations,df6ecca9-1097-46ad-aa71-97f3f1a32f51,https://github.com/SFOE/DIEMO-Documentation/blob/master/How,-
Licht-Markt Schweiz,dataset,url,cf7dfd5e-fa1d-498f-8c3a-40834275c0af,http://www.bfe.admin.ch/ogd25,https://www.bfe.admin.ch/ogd25
Potenzial der Seen und Flüsse für Wärmeentzug und Wärmeeinleitung,dataset,relations,7e53bf7e-4bfc-4789-86d4-3ddd3cd2cce7,"[{'url': 'www.bfe.admin.ch/potenzial-waermenutzung-gewaesser', 'label': 'Bundesamt für Energie BFE - Detailbeschreibung'}, {'url': 'https://opendata.swiss/de/perma/ogd90@bundesamt-fur-energie-bfe', 'label': 'Potenzialstudien und Publikationen zur Wärmenutzung aus Seen und Grundwasser'}, {'url': 'https://www.geocat.ch/geonetwork/srv/ger/catalog.search#/metadata/f51ab0db-c25c-4211-ab07-365734380066', 'label': 'geocat.ch permalink'}]","[{'url': 'https://www.bfe.admin.ch/potenzial-waermenutzung-gewaesser', 'label': 'Bundesamt für Energie BFE - Detailbeschreibung'}, {'url': 'https://opendata.swiss/de/perma/ogd90@bundesamt-fur-energie-bfe', 'label': 'Potenzialstudien und Publikationen zur Wärmenutzung aus Seen und Grundwasser'}, {'url': 'https://www.geocat.ch/geonetwork/srv/ger/catalog.search#/metadata/f51ab0db-c25c-4211-ab07-365734380066', 'label': 'geocat.ch permalink'}]"
Preisszenarien für die Investitionsbeiträge Wasserkraft und Biomasse,resources,url,3190dd34-b57a-4116-9783-8b1568027026,https://pubdb.bfe.admin.ch/suche?keywords=740,-
Projekte der Koordinationsstelle für nachhaltige Mobilität KOMO,resources,download_url,9d80de78-9e24-4249-9aa1-eb383d2a11d9,http://data.geo.admin.ch/ch.bfe.komo-projekte/csv/2056/ch.bfe.komo-projekte.zip,https://data.geo.admin.ch/ch.bfe.komo-projekte/csv/2056/ch.bfe.komo-projekte.zip
Projekte der Koordinationsstelle für nachhaltige Mobilität KOMO,resources,download_url,2dfb89c8-4a5b-4482-963e-c984fa7e63b0,http://data.geo.admin.ch/ch.bfe.komo-projekte/xtf/2056/ch.bfe.komo-projekte.zip,https://data.geo.admin.ch/ch.bfe.komo-projekte/xtf/2056/ch.bfe.komo-projekte.zip
Projekte der Koordinationsstelle für nachhaltige Mobilität KOMO,resources,url,9d80de78-9e24-4249-9aa1-eb383d2a11d9,http://data.geo.admin.ch/ch.bfe.komo-projekte/csv/2056/ch.bfe.komo-projekte.zip,https://data.geo.admin.ch/ch.bfe.komo-projekte/csv/2056/ch.bfe.komo-projekte.zip
Projekte der Koordinationsstelle für nachhaltige Mobilität KOMO,resources,url,2dfb89c8-4a5b-4482-963e-c984fa7e63b0,http://data.geo.admin.ch/ch.bfe.komo-projekte/xtf/2056/ch.bfe.komo-projekte.zip,https://data.geo.admin.ch/ch.bfe.komo-projekte/xtf/2056/ch.bfe.komo-projekte.zip
"Referenz-Marktpreise gemäss Art. 15, EnFV",dataset,url,eeadc4fb-8f11-4d13-a83b-4a0a0c816aec,http://www.bfe.admin.ch/kev,https://www.bfe.admin.ch/kev
